P [MW],Hour
0.0,0
0.0,1
0.0,2
0.017966666666666666,3
0.12229999999999999,4
0.19813333333333333,5
0.7459,6
1.2861,7
1.6073333333333333,8
2.4724333333333335,9
2.7872,10
2.8220666666666667,11
2.735533333333333,12
1.6300666666666666,13
1.9276,14
1.5062,15
0.8695333333333334,16
0.22943333333333332,17
0.1031,18
0.03613333333333333,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0057666666666666665,28
0.044700000000000004,29
0.282,30
0.23653333333333332,31
0.5383666666666667,32
0.6597999999999999,33
0.5677,34
1.7864666666666669,35
1.1066666666666667,36
1.3235666666666666,37
1.6671333333333334,38
1.4477,39
0.7402666666666667,40
0.3228666666666667,41
0.1431,42
0.037866666666666667,43
0.0,44
0.0,45
0.0,46
0.0,47
